"Tiedot","Kunta","2026* Kaikki majoitusliikkeet","2026* Hotellit","2026* Leirintäalueet","2026* Muut majoitusliikkeet"
"Vuoteet, lkm","Lahti",1771,1765,.,.
"Vuoteet, lkm","Laihia",.,.,.,.
"Vuoteet, lkm","Laitila",.,.,.,.
"Vuoteet, lkm","Lapinjärvi",.,.,.,.
"Vuoteet, lkm","Lapinlahti",.,.,.,.
"Vuoteet, lkm","Lappajärvi",.,.,.,.
"Vuoteet, lkm","Lappeenranta",3605,1776,.,1697
"Vuoteet, lkm","Lapua",314,.,.,.
"Vuoteet, lkm","Laukaa",.,.,.,.
"Vuoteet, lkm","Lemi",.,.,.,.
"Vuoteet, lkm","Lemland",.,.,.,.
"Vuoteet, lkm","Lempäälä",208,.,.,155
"Vuoteet, lkm","Leppävirta",765,.,.,.
"Vuoteet, lkm","Lestijärvi",.,.,.,.
"Vuoteet, lkm","Lieksa",1339,671,228,440
"Vuoteet, lkm","Lieto",89,.,.,.
"Vuoteet, lkm","Liminka",.,.,.,.
"Vuoteet, lkm","Liperi",.,.,.,.
"Vuoteet, lkm","Lohja",1137,1077,.,.
"Vuoteet, lkm","Loimaa",203,.,.,.
"Vuoteet, lkm","Loppi",.,.,.,.
"Vuoteet, lkm","Loviisa",277,.,.,150
"Vuoteet, lkm","Luhanka",.,.,.,.
"Vuoteet, lkm","Lumparland",.,.,.,.
"Vuoteet, lkm","Luoto",.,.,.,.
"Vuoteet, lkm","Luumäki",192,.,.,.
"Vuoteet, lkm","Maalahti",.,.,.,.
"Vuoteet, lkm","Maarianhamina - Mariehamn",1798,1371,.,348
"Vuoteet, lkm","Merikarvia",.,.,.,.
"Vuoteet, lkm","Mikkeli",1783,1232,324,227
"Vuoteet, lkm","Muhos",.,.,.,.
"Vuoteet, lkm","Multia",.,.,.,.
"Vuoteet, lkm","Muonio",1602,1244,.,358
"Vuoteet, lkm","Mustasaari",.,.,.,.
"Vuoteet, lkm","Muurame",.,.,.,.
"Vuoteet, lkm","Mynämäki",.,.,.,.
"Vuoteet, lkm","Mäntsälä",.,.,.,.
"Vuoteet, lkm","Mänttä-Vilppula",133,.,.,.
"Vuoteet, lkm","Mäntyharju",294,.,.,274
"Vuoteet, lkm","Naantali",1272,722,.,426
"Vuoteet, lkm","Nakkila",.,.,.,.
"Vuoteet, lkm","Nivala",.,.,.,.
"Vuoteet, lkm","Nokia",.,.,.,.
"Vuoteet, lkm","Nurmes",753,.,.,.
"Vuoteet, lkm","Nurmijärvi",470,.,.,.
"Vuoteet, lkm","Närpiö",163,.,.,.
"Vuoteet, lkm","Orimattila",.,.,.,.
"Vuoteet, lkm","Orivesi",227,.,.,.
"Vuoteet, lkm","Oulainen",.,.,.,.
"Vuoteet, lkm","Oulu",3314,2929,.,.
"Vuoteet, lkm","Outokumpu",.,.,.,.
"Vuoteet, lkm","Padasjoki",66,.,.,.
"Vuoteet, lkm","Paimio",.,.,.,.
"Vuoteet, lkm","Paltamo",.,.,.,.
"Vuoteet, lkm","Parainen",1238,262,.,902
"Vuoteet, lkm","Parikkala",242,.,.,174
"Vuoteet, lkm","Parkano",.,.,.,.
"Vuoteet, lkm","Pedersören kunta",.,.,.,.
"Vuoteet, lkm","Pelkosenniemi",1598,1209,.,.
"Vuoteet, lkm","Pello",168,.,108,.
"Vuoteet, lkm","Perho",.,.,.,.
"Vuoteet, lkm","Petäjävesi",.,.,.,.
"Vuoteet, lkm","Pieksämäki",.,.,.,.
"Vuoteet, lkm","Pielavesi",.,.,.,.
"Vuoteet, lkm","Pietarsaari",323,234,.,.
"Vuoteet, lkm","Pihtipudas",.,.,.,.
"Vuoteet, lkm","Pirkkala",.,.,.,.
"Vuoteet, lkm","Polvijärvi",.,.,.,.
"Vuoteet, lkm","Pomarkku",.,.,.,.
"Vuoteet, lkm","Pori",1801,1109,442,250
"Vuoteet, lkm","Porvoo",964,786,.,178
"Vuoteet, lkm","Posio",305,.,.,.
"Vuoteet, lkm","Pudasjärvi",1508,511,.,.
"Vuoteet, lkm","Puolanka",.,.,.,.
"Vuoteet, lkm","Puumala",435,.,.,177
"Vuoteet, lkm","Pyhtää",.,.,.,.
"Vuoteet, lkm","Pyhäjoki",.,.,.,.
"Vuoteet, lkm","Pyhäjärvi",206,.,.,.
"Vuoteet, lkm","Pyhäntä",.,.,.,.
"Vuoteet, lkm","Pyhäranta",.,.,.,.
"Vuoteet, lkm","Pälkäne",602,.,.,.
"Vuoteet, lkm","Pöytyä",.,.,.,.
"Vuoteet, lkm","Raahe",369,369,.,.
"Vuoteet, lkm","Raasepori",564,448,.,.
"Vuoteet, lkm","Raisio",187,187,.,.
"Vuoteet, lkm","Rantasalmi",700,600,.,.
"Vuoteet, lkm","Ranua",321,.,.,.
"Vuoteet, lkm","Rauma",590,550,.,.
"Vuoteet, lkm","Rautalampi",.,.,.,.
"Vuoteet, lkm","Rautavaara",.,.,.,.
"Vuoteet, lkm","Rautjärvi",.,.,.,.
"Vuoteet, lkm","Reisjärvi",.,.,.,.
"Vuoteet, lkm","Riihimäki",448,389,.,.
"Vuoteet, lkm","Ristijärvi",.,.,.,.
"Vuoteet, lkm","Rovaniemi",5267,4685,.,576
"Vuoteet, lkm","Ruokolahti",.,.,.,.
"Vuoteet, lkm","Ruovesi",295,.,.,115
"Vuoteet, lkm","Rääkkylä",.,.,.,.
