"Päällyste","Vuosi","Tiedot","Alue","Yhteensä","Valtatie","Kantatie","Seututie","Yhdystie","Lauttaväli"
"Sora","2025","Tiepituus","  Sodankylä",61,.,.,1,60,.
"Sora","2025","Tiepituus","  Utsjoki",49,.,.,.,49,.
"Sora","2025","Tiepituus","  Ranua",211,.,.,.,211,.
"Sora","2025","Tiepituus","  Rovaniemi",474,.,.,46,428,.
"Sora","2025","Tiepituus","  Pello",108,.,.,0,108,.
"Sora","2025","Tiepituus","  Ylitornio",109,.,.,.,109,.
"Sora","2025","Tiepituus","  Enontekiö",42,.,.,.,42,.
"Sora","2025","Tiepituus","  Kittilä",256,.,.,60,196,.
"Sora","2025","Tiepituus","  Kolari",141,.,.,.,141,.
"Sora","2025","Tiepituus","  Muonio",61,.,.,.,61,.
"Sora","2025","Tiepituus","Tuntematon",.,.,.,.,.,.
"Muu","2025","Tiepituus","MA1 MANNER-SUOMI",0,.,.,0,0,62
"Muu","2025","Tiepituus","MK01 Uusimaa",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Espoo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Helsinki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hyvinkää",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Järvenpää",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Karkkila",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kauniainen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kerava",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kirkkonummi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lohja",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Mäntsälä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Nurmijärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pornainen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Sipoo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Siuntio",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Tuusula",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Vantaa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Vihti",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lapinjärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Loviisa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Askola",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Myrskylä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Porvoo",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Pukkila",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hanko",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Inkoo",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Raasepori",.,.,.,.,.,0
"Muu","2025","Tiepituus","MK02 Varsinais-Suomi",.,.,.,.,.,46
"Muu","2025","Tiepituus","  Aura",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Koski Tl",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Loimaa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Marttila",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Oripää",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pöytyä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Salo",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Somero",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kaarina",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lieto",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Masku",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Mynämäki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Naantali",.,.,.,.,.,2
"Muu","2025","Tiepituus","  Nousiainen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Paimio",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Raisio",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Rusko",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Sauvo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Turku",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kustavi",.,.,.,.,.,3
"Muu","2025","Tiepituus","  Laitila",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pyhäranta",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Taivassalo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Uusikaupunki",.,.,.,.,.,.
"Muu","2025","Tiepituus","Vehmaa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kemiönsaari",.,.,.,.,.,8
"Muu","2025","Tiepituus","  Parainen",.,.,.,.,.,33
"Muu","2025","Tiepituus","MK05 Kanta-Häme",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Forssa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Humppila",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Jokioinen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Tammela",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ypäjä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hattula",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hämeenlinna",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Janakkala",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hausjärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Loppi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Riihimäki",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK07 Päijät-Häme",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Asikkala",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hartola",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Heinola",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hollola",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Iitti",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kärkölä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lahti",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Orimattila",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Padasjoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Sysmä",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK08 Kymenlaakso",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hamina",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kotka",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Miehikkälä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pyhtää",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Virolahti",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kouvola",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK09 Etelä-Karjala",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Imatra",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Parikkala",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Rautjärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ruokolahti",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Lappeenranta",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Lemi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Luumäki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Savitaipale",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Taipalsaari",.,.,.,.,.,0
"Muu","2025","Tiepituus","MK04 Satakunta",0,.,.,.,0,.
"Muu","2025","Tiepituus","  Jämijärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kankaanpää",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Karvia",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Siikainen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Harjavalta",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Huittinen",0,.,.,.,0,.
"Muu","2025","Tiepituus","  Kokemäki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Merikarvia",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Nakkila",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pomarkku",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pori",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ulvila",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Eura",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Eurajoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Rauma",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Säkylä",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK06 Pirkanmaa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Akaa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Urjala",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Valkeakoski",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Punkalaidun",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Sastamala",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ikaalinen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kihniö",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Parkano",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hämeenkyrö",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kangasala",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kuhmoinen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lempäälä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Nokia",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Orivesi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pirkkala",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pälkäne",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Tampere",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Vesilahti",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ylöjärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Juupajoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Mänttä-Vilppula",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ruovesi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Virrat",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK13 Keski-Suomi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Joutsa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Luhanka",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hankasalmi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Jyväskylä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Laukaa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Muurame",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Petäjävesi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Toivakka",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Uurainen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Jämsä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Keuruu",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Multia",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kannonkoski",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Karstula",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kinnula",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kivijärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kyyjärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pihtipudas",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Saarijärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Viitasaari",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Konnevesi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Äänekoski",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK14 Etelä-Pohjanmaa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Alajärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Evijärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lappajärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Soini",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Vimpeli",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Alavus",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kuortane",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ähtäri",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ilmajoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Isokyrö",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kauhava",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kurikka",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lapua",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Seinäjoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Isojoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Karijoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kauhajoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Teuva",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK15 Pohjanmaa",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Kruunupyy",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Luoto",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pedersören kunta",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pietarsaari",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Uusikaarlepyy",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kaskinen",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Kristiinankaupunki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Närpiö",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Korsnäs",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Laihia",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Maalahti",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Mustasaari",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Vaasa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Vöyri",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK10 Etelä-Savo",.,.,.,.,.,2
"Muu","2025","Tiepituus","  Hirvensalmi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kangasniemi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Mikkeli",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Mäntyharju",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Puumala",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Juva",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pieksämäki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Enonkoski",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Rantasalmi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Savonlinna",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Sulkava",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK11 Pohjois-Savo",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Kaavi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Rautavaara",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Tuusniemi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kuopio",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Siilinjärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Rautalampi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Suonenjoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Tervo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Vesanto",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Joroinen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Leppävirta",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Varkaus",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Iisalmi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Keitele",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kiuruvesi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lapinlahti",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pielavesi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Sonkajärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Vieremä",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK12 Pohjois-Karjala",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Heinävesi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ilomantsi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Joensuu",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Juuka",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Kontiolahti",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Liperi",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Outokumpu",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Polvijärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kitee",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Rääkkylä",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Tohmajärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lieksa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Nurmes",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK16 Keski-Pohjanmaa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Halsua",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kaustinen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lestijärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Perho",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Toholampi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Veteli",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kannus",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kokkola",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK17 Pohjois-Pohjanmaa",0,.,.,.,0,8
"Muu","2025","Tiepituus","  Haapavesi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pyhäntä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Siikalatva",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kuusamo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Taivalkoski",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Haapajärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kärsämäki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Nivala",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pyhäjärvi",0,.,.,.,0,.
"Muu","2025","Tiepituus","  Reisjärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hailuoto",.,.,.,.,.,2
"Muu","2025","Tiepituus","  Kempele",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Liminka",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Lumijoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Muhos",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Oulu",.,.,.,.,.,5
"Muu","2025","Tiepituus","  Tyrnävä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ii",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pudasjärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Utajärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Vaala",.,.,.,.,.,1
"Muu","2025","Tiepituus","  Pyhäjoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Raahe",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Siikajoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Alavieska",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kalajoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Merijärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Oulainen",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Sievi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ylivieska",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK18 Kainuu",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kajaani",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Paltamo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ristijärvi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Sotkamo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Hyrynsalmi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kuhmo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Puolanka",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Suomussalmi",.,.,.,.,.,.
"Muu","2025","Tiepituus","MK19 Lappi",0,.,.,0,.,0
"Muu","2025","Tiepituus","  Kemijärvi",.,.,.,.,.,0
"Muu","2025","Tiepituus","  Pelkosenniemi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Posio",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Salla",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Savukoski",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kemi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Keminmaa",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Simo",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Tervola",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Tornio",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Inari",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Sodankylä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Utsjoki",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ranua",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Rovaniemi",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Pello",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Ylitornio",0,.,.,0,.,.
"Muu","2025","Tiepituus","  Enontekiö",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kittilä",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Kolari",.,.,.,.,.,.
"Muu","2025","Tiepituus","  Muonio",.,.,.,.,.,.
"Muu","2025","Tiepituus","Tuntematon",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","MA1 MANNER-SUOMI",85,24,0,11,51,.
"Tuntematon","2025","Tiepituus","MK01 Uusimaa",5,.,.,3,2,.
"Tuntematon","2025","Tiepituus","  Espoo",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Helsinki",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Hyvinkää",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Järvenpää",1,.,.,.,1,.
"Tuntematon","2025","Tiepituus","  Karkkila",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Kauniainen",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Kerava",0,.,.,0,.,.
"Tuntematon","2025","Tiepituus","  Kirkkonummi",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Lohja",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Mäntsälä",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Nurmijärvi",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Pornainen",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Sipoo",0,.,.,0,0,.
"Tuntematon","2025","Tiepituus","  Siuntio",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Tuusula",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Vantaa",3,.,.,2,1,.
"Tuntematon","2025","Tiepituus","  Vihti",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Lapinjärvi",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Loviisa",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Askola",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Myrskylä",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Porvoo",0,.,.,0,.,.
"Tuntematon","2025","Tiepituus","  Pukkila",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Hanko",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Inkoo",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Raasepori",0,.,.,0,0,.
"Tuntematon","2025","Tiepituus","MK02 Varsinais-Suomi",3,.,.,2,2,.
"Tuntematon","2025","Tiepituus","  Aura",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Koski Tl",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Loimaa",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Marttila",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Oripää",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Pöytyä",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Salo",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Somero",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Kaarina",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Lieto",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Masku",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Mynämäki",1,.,.,.,1,.
"Tuntematon","2025","Tiepituus","  Naantali",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Nousiainen",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Paimio",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Raisio",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Rusko",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Sauvo",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Turku",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Kustavi",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Laitila",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Pyhäranta",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Taivassalo",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Uusikaupunki",0,.,.,0,.,.
"Tuntematon","2025","Tiepituus","Vehmaa",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Kemiönsaari",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Parainen",1,.,.,1,.,.
"Tuntematon","2025","Tiepituus","MK05 Kanta-Häme",3,.,.,.,3,.
"Tuntematon","2025","Tiepituus","  Forssa",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Humppila",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Jokioinen",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Tammela",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Ypäjä",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Hattula",3,.,.,.,3,.
"Tuntematon","2025","Tiepituus","  Hämeenlinna",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Janakkala",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Hausjärvi",0,.,.,.,0,.
"Tuntematon","2025","Tiepituus","  Loppi",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Riihimäki",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","MK07 Päijät-Häme",5,.,.,1,4,.
"Tuntematon","2025","Tiepituus","  Asikkala",.,.,.,.,.,.
"Tuntematon","2025","Tiepituus","  Hartola",2,.,.,.,2,.
